ticket_id,customer_id,issue_type,resolution_time_hours,satisfaction_score
TICK000001,CUST028739,Late Delivery,2,2
TICK000002,CUST026593,Late Delivery,83,3
TICK000003,CUST049323,Payment Issue,115,4
TICK000004,CUST044497,Wrong Item,23,3
TICK000005,CUST027802,Refund,111,2
TICK000006,CUST004649,Late Delivery,57,2
TICK000007,CUST010004,Damaged Product,56,2
TICK000008,CUST040743,Payment Issue,116,1
TICK000009,CUST001064,Wrong Item,58,5
TICK000010,CUST030238,Damaged Product,23,5
TICK000011,CUST014997,Refund,64,4
TICK000012,CUST028571,Refund,1,4
TICK000013,CUST042022,Payment Issue,19,2
TICK000014,CUST013140,Late Delivery,52,2
TICK000015,CUST007948,Refund,76,3
TICK000016,CUST025839,Late Delivery,78,5
TICK000017,CUST033675,Wrong Item,95,4
TICK000018,CUST030749,Late Delivery,84,1
TICK000019,CUST042468,Wrong Item,67,3
TICK000020,CUST046004,Wrong Item,62,1
TICK000021,CUST003017,Refund,56,2
TICK000022,CUST012509,Payment Issue,93,4
TICK000023,CUST043214,Payment Issue,92,3
TICK000024,CUST045401,Wrong Item,72,4
TICK000025,CUST025726,Wrong Item,106,4
TICK000026,CUST009011,Late Delivery,18,5
TICK000027,CUST049641,Damaged Product,35,3
TICK000028,CUST044657,Damaged Product,16,2
TICK000029,CUST049656,Payment Issue,22,2
TICK000030,CUST043811,Wrong Item,17,3
TICK000031,CUST036102,Wrong Item,36,2
TICK000032,CUST025652,Refund,115,3
TICK000033,CUST025893,Wrong Item,91,5
TICK000034,CUST039323,Refund,30,1
TICK000035,CUST014879,Late Delivery,91,2
TICK000036,CUST014140,Payment Issue,4,5
TICK000037,CUST048007,Late Delivery,60,1
TICK000038,CUST017909,Wrong Item,41,3
TICK000039,CUST023845,Refund,115,5
TICK000040,CUST003333,Damaged Product,89,3
TICK000041,CUST011165,Refund,36,3
TICK000042,CUST026349,Late Delivery,53,3
TICK000043,CUST026582,Late Delivery,7,3
TICK000044,CUST006039,Damaged Product,31,5
TICK000045,CUST022956,Damaged Product,111,3
TICK000046,CUST026802,Damaged Product,19,3
TICK000047,CUST047457,Late Delivery,108,1
TICK000048,CUST021462,Refund,74,4
TICK000049,CUST026332,Wrong Item,59,3
TICK000050,CUST035146,Damaged Product,39,5
TICK000051,CUST014644,Damaged Product,36,3
TICK000052,CUST017477,Payment Issue,76,5
TICK000053,CUST018049,Payment Issue,16,2
TICK000054,CUST019878,Payment Issue,53,5
TICK000055,CUST016600,Wrong Item,107,4
TICK000056,CUST004787,Damaged Product,5,3
TICK000057,CUST038977,Payment Issue,82,5
TICK000058,CUST015123,Payment Issue,26,4
TICK000059,CUST016350,Damaged Product,51,1
TICK000060,CUST020280,Refund,8,4
TICK000061,CUST013559,Payment Issue,38,1
TICK000062,CUST016522,Refund,42,5
TICK000063,CUST039105,Refund,29,2
TICK000064,CUST013281,Refund,7,5
TICK000065,CUST024646,Late Delivery,1,4
TICK000066,CUST010676,Refund,100,3
TICK000067,CUST025423,Late Delivery,115,4
TICK000068,CUST019817,Refund,62,2
