customer_id,gender,age,city,tenure_months,income,membership_type,signup_date
CUST000001,Male,43,Mumbai,42,95100,Silver,2024-04-11
CUST000002,Female,43,Kolkata,36,43224,Silver,2021-10-10
CUST000003,Male,34,Pune,45,160188,Gold,2021-12-15
CUST000004,Male,48,Bangalore,10,150696,Silver,2020-11-12
CUST000005,Male,36,Bangalore,14,157458,Platinum,2020-11-22
CUST000006,Female,61,Chennai,69,31090,Gold,2024-02-14
CUST000007,Male,37,Delhi,18,190133,Gold,2023-07-30
CUST000008,Male,40,Pune,54,127023,Gold,2021-01-08
CUST000009,Male,42,Bangalore,8,61339,Silver,2023-01-12
CUST000010,Female,45,Kolkata,60,35701,Silver,2021-11-29
CUST000011,Male,54,Mumbai,13,21915,Silver,2024-02-23
CUST000012,Male,29,Bangalore,11,45907,Gold,2023-02-10
CUST000013,Male,65,Mumbai,3,197507,Gold,2024-05-24
CUST000014,Male,18,Bangalore,16,134732,Platinum,2024-09-17
CUST000015,Female,19,Bangalore,57,205025,Silver,2023-06-08
CUST000016,Male,27,Kolkata,13,94387,Silver,2021-06-08
CUST000017,Female,51,Mumbai,49,173875,Gold,2025-01-20
CUST000018,Female,49,Pune,35,34426,Silver,2021-10-18
CUST000019,Female,42,Hyderabad,45,218415,Platinum,2022-10-04
CUST000020,Male,27,Kolkata,8,104838,Gold,2024-08-14
CUST000021,Female,67,Mumbai,42,171333,Platinum,2021-09-28
CUST000022,Male,18,Mumbai,63,195828,Silver,2022-02-11
CUST000023,Female,49,Mumbai,71,47299,Silver,2021-02-02
CUST000024,Female,54,Chennai,1,117762,Platinum,2020-06-16
CUST000025,Female,29,Hyderabad,59,204488,Gold,2024-07-23
CUST000026,Female,66,Kolkata,61,94715,Platinum,2020-12-27
CUST000027,Female,68,Chennai,49,229896,Gold,2021-12-15
CUST000028,Female,35,Hyderabad,19,228745,Gold,2020-09-11
CUST000029,Female,47,Bangalore,55,75626,Silver,2022-05-01
CUST000030,Female,30,Delhi,57,217152,Gold,2025-02-05
CUST000031,Male,20,Hyderabad,63,63436,Silver,2025-01-22
CUST000032,Male,38,Bangalore,66,75100,Gold,2024-08-29
CUST000033,Female,59,Hyderabad,22,23314,Platinum,2020-12-03
CUST000034,Female,31,Mumbai,8,38822,Silver,2021-10-29
CUST000035,Female,57,Delhi,43,67929,Silver,2023-11-20
CUST000036,Male,27,Delhi,25,183843,Silver,2024-08-17
CUST000037,Female,19,Pune,26,156888,Silver,2024-05-19
CUST000038,Male,62,Bangalore,3,51039,Silver,2022-07-31
CUST000039,Male,54,Chennai,21,31148,Gold,2020-11-20
CUST000040,Male,28,Chennai,69,116224,Silver,2022-02-15
CUST000041,Male,18,Pune,12,136500,Gold,2021-05-12
CUST000042,Male,43,Hyderabad,27,21255,Gold,2023-06-29
CUST000043,Female,59,Hyderabad,1,39400,Silver,2023-05-30
CUST000044,Female,30,Chennai,43,225365,Gold,2020-10-26
CUST000045,Female,45,Hyderabad,67,143570,Gold,2022-05-20
CUST000046,Female,53,Bangalore,54,115602,Silver,2023-11-08
CUST000047,Female,38,Hyderabad,54,190678,Silver,2025-03-16
CUST000048,Male,27,Delhi,52,96838,Platinum,2021-06-08
CUST000049,Female,29,Delhi,63,134968,Silver,2023-03-06
CUST000050,Female,63,Kolkata,13,95579,Gold,2025-02-17
CUST000051,Male,44,Hyderabad,19,166093,Silver,2020-10-13
CUST000052,Female,20,Hyderabad,58,232170,Gold,2021-02-17
CUST000053,Male,45,Pune,32,165558,Silver,2022-09-09
CUST000054,Female,19,Delhi,49,222492,Silver,2024-05-31
CUST000055,Male,45,Delhi,14,51260,Silver,2025-04-07
CUST000056,Female,68,Mumbai,46,139523,Silver,2023-05-16
CUST000057,Female,48,Mumbai,61,192952,Platinum,2022-01-01
CUST000058,Male,60,Kolkata,20,169103,Silver,2023-11-26
CUST000059,Male,38,Delhi,25,35244,Gold,2024-09-10
CUST000060,Male,24,Kolkata,61,153061,Gold,2021-06-11
CUST000061,Male,67,Hyderabad,27,20902,Gold,2024-09-13
CUST000062,Male,48,Hyderabad,29,233779,Gold,2023-03-04
CUST000063,Male,31,Delhi,69,30117,Silver,2020-12-13
CUST000064,Male,56,Bangalore,49,85670,Gold,2020-07-30
CUST000065,Male,56,Kolkata,17,117346,Gold,2022-02-17
CUST000066,Female,26,Bangalore,3,227968,Platinum,2021-07-22
CUST000067,Female,40,Hyderabad,69,115312,Silver,2023-12-29
CUST000068,Male,29,Pune,56,235650,Gold,2022-12-10
CUST000069,Female,46,Chennai,54,221318,Platinum,2024-02-04
CUST000070,Female,55,Kolkata,8,161500,Gold,2024-12-30
CUST000071,Female,56,Hyderabad,55,135241,Gold,2021-07-10
CUST000072,Female,39,Mumbai,42,57508,Silver,2023-02-16
CUST000073,Male,21,Delhi,31,141650,Silver,2021-06-11
CUST000074,Female,65,Mumbai,8,233538,Silver,2024-06-13
CUST000075,Male,24,Chennai,65,91931,Gold,2021-05-21
CUST000076,Female,57,Chennai,5,226840,Silver,2021-07-21
CUST000077,Female,25,Kolkata,5,38873,Silver,2025-01-01
CUST000078,Female,69,Mumbai,34,130394,Silver,2021-04-21
CUST000079,Male,52,Pune,1,124647,Silver,2024-09-21
CUST000080,Female,26,Chennai,62,62853,Gold,2024-09-30
CUST000081,Male,68,Kolkata,10,142661,Silver,2020-08-26
CUST000082,Female,30,Bangalore,38,121396,Silver,2024-07-12
CUST000083,Male,56,Delhi,8,158147,Platinum,2022-11-14
CUST000084,Female,37,Bangalore,25,185474,Gold,2023-03-10
CUST000085,Male,38,Pune,50,79923,Silver,2020-07-09
CUST000086,Male,64,Hyderabad,61,77293,Silver,2024-11-16
CUST000087,Female,36,Chennai,37,153292,Gold,2023-10-06
CUST000088,Male,19,Delhi,31,26885,Platinum,2021-04-13
CUST000089,Female,61,Mumbai,42,121498,Gold,2022-03-13
CUST000090,Female,57,Kolkata,24,78611,Silver,2021-01-20
CUST000091,Female,47,Delhi,67,106445,Silver,2023-09-07
CUST000092,Female,40,Hyderabad,62,133554,Platinum,2023-09-27
CUST000093,Female,57,Chennai,6,39781,Platinum,2022-11-23
CUST000094,Female,30,Bangalore,71,93081,Gold,2021-08-14
CUST000095,Female,50,Chennai,51,64670,Platinum,2024-06-02
CUST000096,Female,49,Hyderabad,15,51410,Platinum,2021-05-03
CUST000097,Female,45,Mumbai,34,197517,Silver,2021-04-25
CUST000098,Female,41,Kolkata,64,77821,Gold,2024-07-10
CUST000099,Female,59,Chennai,46,40226,Silver,2024-06-14
CUST000100,Male,45,Kolkata,25,66850,Platinum,2022-04-22
CUST000101,Male,47,Mumbai,38,162770,Gold,2024-08-03
CUST000102,Female,58,Kolkata,62,25813,Silver,2023-10-21
CUST000103,Female,46,Delhi,66,152641,Silver,2024-04-28
CUST000104,Female,51,Delhi,23,69849,Silver,2024-04-14
CUST000105,Female,68,Mumbai,33,220938,Gold,2022-06-13
CUST000106,Female,39,Mumbai,62,140834,Silver,2023-11-21
CUST000107,Female,42,Hyderabad,27,82684,Silver,2023-06-01
CUST000108,Female,31,Kolkata,61,38004,Silver,2023-09-12
CUST000109,Female,27,Chennai,29,59426,Platinum,2023-06-01
CUST000110,Male,27,Pune,47,165572,Gold,2024-07-11
CUST000111,Female,25,Bangalore,38,120368,Platinum,2020-07-06
CUST000112,Male,31,Mumbai,61,92597,Gold,2025-01-23
CUST000113,Female,62,Hyderabad,21,207657,Silver,2024-09-29
CUST000114,Female,55,Mumbai,23,49483,Gold,2023-12-05
CUST000115,Male,49,Chennai,58,188498,Silver,2024-04-05
CUST000116,Female,62,Mumbai,52,26791,Silver,2021-12-14
CUST000117,Male,49,Delhi,18,180425,Gold,2023-03-28
CUST000118,Female,20,Pune,44,249489,Silver,2021-08-03
CUST000119,Female,37,Kolkata,52,46571,Gold,2021-03-27
CUST000120,Male,30,Pune,62,219181,Platinum,2024-01-17
CUST000121,Female,40,Mumbai,9,75952,Gold,2022-02-22
CUST000122,Male,36,Kolkata,45,31000,Silver,2022-10-11
CUST000123,Female,33,Hyderabad,36,178224,Silver,2021-08-06
CUST000124,Male,53,Mumbai,68,87933,Gold,2021-12-03
CUST000125,Male,52,Pune,46,185035,Silver,2022-06-10
CUST000126,Female,64,Bangalore,49,230188,Silver,2025-02-17
CUST000127,Female,64,Pune,2,124965,Silver,2021-06-27
CUST000128,Male,67,Delhi,26,213234,Gold,2022-06-30
CUST000129,Female,24,Bangalore,63,77881,Silver,2021-08-17
CUST000130,Female,69,Delhi,42,60312,Gold,2022-03-18
CUST000131,Female,54,Mumbai,60,89324,Platinum,2020-12-22
CUST000132,Male,25,Pune,59,70420,Silver,2020-08-02
CUST000133,Male,42,Mumbai,25,94397,Gold,2022-08-29
CUST000134,Male,40,Kolkata,16,210075,Silver,2024-10-03
CUST000135,Male,27,Delhi,65,160517,Silver,2023-06-17
CUST000136,Male,47,Hyderabad,32,246097,Gold,2020-11-25
CUST000137,Male,50,Bangalore,48,126180,Silver,2024-11-05
CUST000138,Male,28,Pune,57,160143,Silver,2023-04-12
CUST000139,Male,52,Hyderabad,24,118826,Gold,2021-11-22
CUST000140,Male,44,Delhi,34,152861,Gold,2024-05-09
CUST000141,Female,20,Hyderabad,50,124406,Silver,2020-08-20
CUST000142,Male,64,Delhi,52,24368,Platinum,2022-12-22
CUST000143,Female,66,Kolkata,62,97672,Platinum,2020-10-18
CUST000144,Female,67,Kolkata,56,122163,Gold,2022-10-24
CUST000145,Female,25,Hyderabad,46,44093,Platinum,2023-04-10
CUST000146,Male,30,Chennai,39,55276,Gold,2024-09-03
CUST000147,Male,59,Chennai,39,130674,Gold,2020-07-17
CUST000148,Male,20,Hyderabad,57,199486,Gold,2024-10-11
CUST000149,Male,37,Pune,28,147174,Silver,2021-07-11
CUST000150,Female,63,Chennai,37,164620,Gold,2023-07-17
CUST000151,Male,62,Delhi,63,79459,Silver,2022-10-20
CUST000152,Male,52,Kolkata,27,89007,Gold,2025-04-23
CUST000153,Male,30,Pune,45,89624,Platinum,2023-03-28
CUST000154,Male,37,Hyderabad,15,83803,Silver,2024-09-27
CUST000155,Male,41,Pune,13,53416,Gold,2021-10-28
CUST000156,Female,26,Delhi,43,22993,Gold,2021-11-04
CUST000157,Male,47,Delhi,54,212341,Platinum,2022-10-22
CUST000158,Female,42,Hyderabad,23,241019,Silver,2025-03-08
CUST000159,Male,33,Bangalore,65,210131,Silver,2022-01-29
CUST000160,Female,25,Pune,63,87404,Silver,2021-03-23
CUST000161,Male,61,Mumbai,69,163533,Silver,2020-07-10
CUST000162,Male,45,Delhi,39,127840,Platinum,2025-01-02
CUST000163,Female,29,Kolkata,62,233794,Platinum,2020-12-17
CUST000164,Female,68,Chennai,54,177033,Gold,2021-09-11
CUST000165,Female,41,Pune,2,173111,Silver,2024-12-09
CUST000166,Male,66,Mumbai,3,241018,Gold,2022-07-27
CUST000167,Female,46,Delhi,19,150074,Platinum,2024-09-12
CUST000168,Male,32,Pune,66,36932,Silver,2022-08-29
CUST000169,Male,35,Bangalore,45,217018,Silver,2021-01-12
CUST000170,Female,24,Mumbai,14,36703,Gold,2022-01-06
CUST000171,Female,30,Kolkata,7,77505,Gold,2024-06-15
CUST000172,Male,36,Mumbai,3,74215,Silver,2023-06-05
CUST000173,Male,65,Pune,1,191540,Platinum,2022-01-02
CUST000174,Female,60,Chennai,52,243167,Silver,2024-10-31
CUST000175,Female,22,Hyderabad,61,39362,Platinum,2022-10-12
CUST000176,Female,43,Delhi,23,101936,Gold,2024-12-08
CUST000177,Male,19,Chennai,13,39960,Platinum,2025-02-22
CUST000178,Male,50,Hyderabad,61,45543,Gold,2020-08-09
CUST000179,Male,65,Bangalore,38,170863,Gold,2021-08-15
CUST000180,Male,54,Mumbai,44,48574,Silver,2022-12-03
CUST000181,Male,42,Hyderabad,10,128971,Gold,2022-08-06
CUST000182,Male,42,Bangalore,31,220715,Gold,2024-05-09
CUST000183,Female,56,Hyderabad,33,219901,Silver,2022-01-28
CUST000184,Male,47,Kolkata,24,179255,Silver,2022-05-09
CUST000185,Male,58,Hyderabad,13,24062,Silver,2021-11-24
CUST000186,Male,21,Delhi,19,98706,Silver,2021-11-29
CUST000187,Female,36,Pune,62,33673,Gold,2021-02-17
CUST000188,Male,44,Hyderabad,67,125227,Platinum,2020-09-18
CUST000189,Male,69,Hyderabad,47,79243,Silver,2023-12-03
CUST000190,Female,64,Hyderabad,31,67125,Silver,2021-02-19
CUST000191,Male,56,Chennai,19,89840,Gold,2022-08-08
CUST000192,Male,41,Hyderabad,42,147456,Gold,2021-07-27
CUST000193,Male,67,Hyderabad,11,20600,Silver,2022-12-03
CUST000194,Male,54,Mumbai,40,61527,Silver,2024-06-12
CUST000195,Male,42,Mumbai,39,202670,Gold,2022-04-11
CUST000196,Female,46,Pune,8,26504,Platinum,2023-06-16
CUST000197,Female,48,Chennai,34,21362,Silver,2023-06-16
CUST000198,Female,62,Kolkata,42,65903,Silver,2024-05-28
CUST000199,Male,52,Mumbai,48,218984,Silver,2020-09-29
CUST000200,Male,45,Bangalore,15,57280,Platinum,2021-11-16
CUST000201,Male,55,Delhi,31,53250,Platinum,2021-10-31
CUST000202,Female,61,Hyderabad,47,147431,Silver,2020-07-07
CUST000203,Male,67,Hyderabad,48,112267,Silver,2024-05-28
CUST000204,Male,67,Hyderabad,3,80280,Gold,2021-02-24
CUST000205,Female,21,Kolkata,45,199110,Silver,2022-03-28
CUST000206,Male,45,Kolkata,50,45591,Silver,2025-03-09
CUST000207,Female,69,Bangalore,35,90245,Gold,2023-07-25
CUST000208,Female,48,Chennai,36,26568,Gold,2022-03-13
CUST000209,Female,40,Hyderabad,69,176461,Silver,2022-10-10
CUST000210,Male,31,Kolkata,26,197679,Silver,2023-11-07
CUST000211,Male,45,Hyderabad,52,176978,Platinum,2022-11-12
CUST000212,Male,31,Mumbai,24,48806,Silver,2024-08-30
